clade_name	MS11669_jun23_under50bp.metaphlan	MS11670_jun23_under50bp.metaphlan	MS11673_jun23_under50bp.metaphlan	MS11674_jun23_under50bp.metaphlan	MS11675_jun23_under50bp.metaphlan	MS11676_jun23_under50bp.metaphlan	MS11677_jun23_under50bp.metaphlan	MS11678_jun23_under50bp.metaphlan	MS11679_jun23_under50bp.metaphlan	MS11683_jun23_under50bp.metaphlan	MS11684_jun23_under50bp.metaphlan	MS11686_jun23_under50bp.metaphlan	MS11770_jun23_under50bp.metaphlan	MS11771_jun23_under50bp.metaphlan	MS11774_jun23_under50bp.metaphlan	MS11775_jun23_under50bp.metaphlan
s__GGB44392_SGB61810	0.01616	0.0	0.0	0.0	0.0009	0.0	0.0	0.00759	0.00438	0.0127	0.00245	0.0	0.0	0.0	0.00328	0.0
s__GGB14953_SGB22619	0.0158	0.0	0.03276	0.0	0.0052	0.0	0.0	0.00466	0.00445	0.03351	0.0	0.0	0.03265	0.0	0.00615	0.0
s__GGB91756_SGB134018	0.0157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_aquimarina	0.01555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Aliarcobacter_lanthieri	0.01543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingomonas_soli	0.01495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB52616_SGB73496	0.01493	0.0	0.12738	0.0	0.0	0.00223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Devosia_limi	0.01442	0.0	0.0	0.0	0.0184	0.0	0.0	0.00203	0.0	0.0	0.0	0.01709	0.0	0.0	0.00385	0.00386
s__Pseudomonas_rustica	0.01428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03864	0.0	0.0
s__Pseudaminobacter_arsenicus	0.01414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_ureae	0.01311	0.0	0.0	0.0	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB66348_SGB89905	0.01309	0.0	0.16687	0.0	0.0	0.00518	0.00742	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0
s__Pollutimonas_nitritireducens	0.01285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB15827_SGB24079	0.01252	0.0	0.09916	0.0	0.00153	0.0	0.0	0.0	0.0	0.0	0.0	0.01149	0.0	0.00773	0.0	0.00066
s__Arcobacter_peruensis	0.01248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingopyxis_sp_MWB1	0.01234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Polaromonas_eurypsychrophila	0.01196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02202	0.0	0.0	0.0
s__GGB52551_SGB73429	0.01142	0.0	0.00509	0.0	0.0	0.0	0.0	0.00204	0.00228	0.01519	0.0	0.0	0.01698	0.0	0.0	0.0
s__GGB78246_SGB107425	0.01111	0.00638	0.01418	0.0	0.0	0.0	0.02959	0.00322	0.05099	0.08379	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB15795_SGB24038	0.01048	0.0	0.12727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB92817_SGB131160	0.01031	0.0	0.00529	0.0	0.0	0.0	0.0	0.0	0.0	0.03127	0.00322	0.0	0.00219	0.0	0.0	0.0
s__Aliarcobacter_cibarius	0.01024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB40665_SGB58442	0.01006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91320_SGB134759	0.00988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01558	0.0	0.0	0.0	0.0	0.00188	0.0
s__GGB8060_SGB11998	0.00984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00148	0.0	0.0	0.0	0.0	0.0	0.0
s__Helicobacter_sp_NHP19_0003	0.00981	0.0	0.05506	0.99852	0.20667	0.13324	4.98671	0.02954	0.1595	0.18954	0.81994	3.07383	0.1567	0.56445	0.31492	0.02918
s__Hydrogenophaga_palleronii	0.0092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00722	0.0	0.0	0.0	0.0
s__Phenylobacterium_sp_Root700	0.00904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Devosia_epidermidihirudinis	0.00823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sulfurifustis_variabilis	0.00816	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.00545	0.0	0.0	0.00425	0.0	0.0	0.0
s__GGB66626_SGB90250	0.0077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alcaligenaceae_unclassified_SGB57624	0.00762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dongia_mobilis	0.00761	0.0	0.06434	0.0	0.0	0.0	0.01271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Aliarcobacter_cryaerophilus	0.00731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Usitatibacter_palustris	0.00731	0.20238	0.10817	0.0	0.00019	0.0	0.01262	0.00301	0.05272	0.0414	0.0	0.01591	0.00138	0.0	0.00551	0.0
s__Sphingomonas_laterariae	0.00729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB52697_SGB73595	0.00602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00854	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_abyssalis	0.00596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pedobacter_cryotolerans	0.00539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB64386_SGB86855	0.00529	0.0	0.05364	0.0	0.0	0.0	0.0	0.0	0.0	0.00976	0.0	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_sp_BI001_red	0.00512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_fluminis	0.00507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingopyxis_granuli	0.00399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91335_SGB134737	0.00386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00291	0.0	0.0	0.0	0.0	0.0	0.0
s__Nitrospira_lenta	0.00356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB32453_SGB57139	0.00355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00362	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingomonas_fennica	0.00274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oerskovia_douganii	0.00258	0.0	0.0	0.0	0.03523	0.0	0.0063	0.0	0.15302	0.28279	0.0	0.0	0.02883	0.0	0.0	0.0
s__GGB37999_SGB56118	0.00247	0.0	0.02168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03371	0.0	0.00405	0.0
s__Paralcaligenes_sp_KSB_10	0.00235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB74134_SGB132366	0.00218	0.0	0.0	0.00958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Myxococcaceae_bacterium	0.00207	0.0	0.0	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcobacter_aquimarinus	0.00205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB65321_SGB88309	0.00192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00061
s__Pusillimonas_sp_MFBS29	0.00174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Hydrogenophaga_sp_RAC07	0.00169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phenylobacterium_sp_CCH12_B4	0.00159	0.0	0.0	0.0	0.0	0.0	0.02202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB33537_SGB46614	0.00157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nitrosovibrio_sp_Nv17	0.00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Polaromonas_sp_AER18D_145	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcobacter_sp_LA11	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Inmirania_thermothiophila	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Paralcaligenes_ureilyticus	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pedobacter_namyangjuensis	0.00074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4884_SGB6823	0.0	10.85591	0.03025	0.0	0.0	0.0	0.0	7.37113	0.0	0.0	0.0	0.0	0.31347	0.0	0.21506	0.0
s__Flavobacterium_sp_140616W15	0.0	8.51723	0.0	0.0	0.0	1.0651	0.03103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01195
s__Denitrificimonas_caeni	0.0	7.75926	1.60649	3.74031	0.42238	1.17122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02134	0.50253	7.91206
s__Schaalia_turicensis	0.0	5.38934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB13315_SGB20561	0.0	2.58819	0.0	0.0	0.0	0.0418	0.0	2.27949	0.0	0.0	0.0	0.0	0.0	0.0	0.17406	0.0
s__Ruminococcus_bromii	0.0	2.39439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB13174_SGB20388	0.0	0.78924	0.0	0.0	0.0	0.06325	0.0	0.05032	0.0	0.0	0.0	0.0	0.04067	0.0	3.20601	0.0
s__Escherichia_coli	0.0	0.74496	0.0	7.41849	1.24738	3.40299	0.05047	0.19103	2.14432	1.10185	21.47428	0.88713	1.40056	19.49206	1.22668	0.00619
s__GGB4574_SGB6324	0.0	0.58478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	0.0	0.47714	0.0	0.01312	1.54617	0.46648	5.12274	1.23403	1.72619	2.4035	0.60136	4.01838	1.10735	0.30855	5.39259	1.41739
s__Mogibacterium_kristiansenii	0.0	0.4255	0.0	0.0	0.0	0.32938	0.0	0.38762	0.0	0.0	0.0	0.0	0.27827	0.0	0.51986	0.0
s__Amedibacillus_dolichus	0.0	0.41133	0.74218	0.0	0.56119	0.44499	0.0	0.10173	0.02778	0.04173	1.72408	0.24082	1.18085	0.04705	0.13281	1.42848
s__GGB51648_SGB4350	0.0	0.39612	0.05396	0.0	0.0	0.0	0.0	0.03179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4672_SGB6461	0.0	0.30409	0.0	0.0	0.0	0.0	0.0	0.60715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Flavobacterium_sp_F_65	0.0	0.24455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.0
s__Pseudomonas_psychrophila	0.0	0.24164	0.0	0.0	0.02561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63635	0.0	0.0
s__Vescimonas_coprocola	0.0	0.23781	0.0	0.0	0.0	0.0	0.0	0.04546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9642_SGB15119	0.0	0.22462	0.0	0.0	0.0	0.0	0.0	0.03851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_baratii	0.0	0.216	0.0	1.53487	0.24792	0.15926	0.08513	0.01521	0.11378	0.09217	0.2097	0.17926	0.46195	0.09468	0.07558	0.1049
s__Mediterraneibacter_faecis	0.0	0.21035	0.21756	0.0	0.0	0.02067	0.0	0.18017	0.0	0.0	0.0	0.0	0.83158	0.0	0.06884	0.0
s__Eubacterium_ramulus	0.0	0.20307	0.0	0.0	0.0	0.0	0.0	0.00463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3637_SGB4930	0.0	0.19744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_gallolyticus	0.0	0.19329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridiales_bacterium_KLE1615	0.0	0.19148	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.0	0.0	0.03554	0.0	0.0	0.0
s__GGB1491_SGB2066	0.0	0.19086	0.0	0.0	0.00427	0.0	0.0	0.05958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4584_SGB6338	0.0	0.18948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9715_SGB15260	0.0	0.14952	0.0	0.0	0.0	0.0242	0.0	0.03996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4682_SGB6472	0.0	0.13689	0.0	0.0	0.0	0.0	0.0	0.12218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_fallax	0.0	0.13126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05247	0.0	0.0	0.0	0.0
s__Escherichia_marmotae	0.0	0.12044	0.0	0.22699	0.42825	0.11982	0.0	0.0	0.00956	0.0	0.57722	0.0	0.06686	0.61779	0.45556	0.27843
s__GGB3649_SGB4958	0.0	0.11896	0.0	0.0	0.0	0.0	0.0	0.12683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_coprostanoligenes	0.0	0.11771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07278	0.0
s__Prevotella_stercorea	0.0	0.11451	0.0	0.0	0.0	0.0	0.0	1.21908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4250_SGB5751	0.0	0.10717	0.0	0.0175	0.17451	0.27139	0.0	0.03565	0.30172	0.44355	0.0	0.0	0.0	0.00719	0.22025	0.0
s__GGB4251_SGB5752	0.0	0.09586	0.0	0.0	0.0	0.0	0.0	0.06536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09209
s__Simplicispira_psychrophila	0.0	0.09149	0.0	0.0	0.0	0.0213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01044	0.0	0.03918
s__GGB13294_SGB20534	0.0	0.0863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_humi	0.0	0.08307	0.0	0.0	0.04856	0.00472	0.0	0.04204	5.27223	0.00933	0.0	0.0	0.03244	0.13316	0.00602	0.0
s__Collinsella_sp_BA40	0.0	0.07709	0.0	0.40242	0.68731	0.10153	0.0	0.0	0.20079	0.35507	0.00172	0.05416	0.01025	0.0	0.06677	0.85793
s__Flavobacterium_sp_HSC_61S13	0.0	0.07392	0.0	0.0	0.0	0.01974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06815	0.0	0.01975
s__Shewanella_oncorhynchi	0.0	0.07005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_merdae	0.0	0.0672	0.0	0.0	0.04807	0.0	0.05188	0.05898	0.06112	0.10445	0.0	0.40386	0.00836	0.0	0.0	0.13004
s__Flavobacterium_antarcticum	0.0	0.06616	0.0	0.0	0.00269	0.03114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01022
s__Holdemanella_biformis	0.0	0.06306	0.01018	0.0	0.0	0.02814	0.0	1.33515	0.0	0.0	0.0	0.0	2.88345	0.0	0.09876	0.0
s__Acinetobacter_harbinensis	0.0	0.06234	0.0	0.11867	0.78382	0.04469	0.00918	0.14009	0.0	0.0	0.0	0.0	0.0	6.10915	0.0	0.13783
s__Butyrivibrio_crossotus	0.0	0.05947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_fragilis	0.0	0.05636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mediterraneibacter_sp_NSJ_151	0.0	0.05351	0.0	0.0	0.0	0.0	0.0	0.0343	0.0	0.0	0.0	0.0	0.02464	0.0	0.0	0.0
s__Citrobacter_braakii	0.0	0.0452	0.0	0.0	0.27471	0.06246	0.0	0.01538	0.08546	0.0	0.19765	0.0	0.03872	0.0	0.06149	0.0
s__Collinsella_intestinalis	0.0	0.04222	0.0	0.32541	0.38851	0.48629	0.06883	0.10141	0.28327	0.39476	0.01763	0.59233	0.0	0.69483	0.1285	1.35764
s__GGB9559_SGB14969	0.0	0.0388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB1615_SGB2212	0.0	0.03846	0.0	0.0	0.0	0.0	0.0	0.58471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB1385_SGB1890	0.0	0.03722	0.0	0.09534	0.02353	0.25103	0.68688	0.91508	0.45475	0.87488	0.61881	3.74347	0.45812	0.30143	1.23327	0.0
s__Simplicispira_sp_110	0.0	0.03617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4629_SGB6407	0.0	0.03526	0.0	0.0	0.0	0.0	0.0	0.14897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_uliginosum	0.0	0.03305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_sp_NKUCC02_KPG	0.0	0.03087	0.0	0.0	0.04654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01878	0.0	0.0
s__GGB2631_SGB3548	0.0	0.02579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Jeotgalicoccus_SGB96891	0.0	0.02457	0.1691	0.07449	0.0	0.33177	0.0	0.18013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB15779_SGB24021	0.0	0.02264	0.02413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01306	0.0	0.0	0.0
s__Dysgonomonas_sp_ZJ279	0.0	0.02143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dysgonomonas_alginatilytica	0.0	0.02117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9634_SGB15095	0.0	0.02056	0.0	0.0	0.0	0.0	0.0	0.05476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Beduini_massiliensis	0.0	0.02046	0.0	0.0	0.07717	0.0	0.0	0.00259	0.0	0.0	0.0	0.01893	0.0	0.00997	0.01488	0.02131
s__Erysipelotrichaceae_bacterium_7770_A6	0.0	0.01941	0.0	0.0	0.0	0.0	0.0	1.40361	0.0	0.0	0.0	0.0	0.6991	0.0	0.23766	0.0
s__Falcatimonas_sp_MSJ_15	0.0	0.01621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB1492_SGB2067	0.0	0.01567	0.0	0.0	0.06341	0.03405	0.0	0.098	0.10416	0.0786	0.0	0.0	0.15517	0.0	0.16231	0.0
s__GGB3105_SGB4114	0.0	0.01325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01954	0.0	0.0	0.0
s__Oscillospiraceae_unclassified_SGB15257	0.0	0.01322	0.0	0.0	0.0	0.0	0.0	0.30781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_finegoldii	0.0	0.0131	0.0	0.0	0.00543	0.0	0.40246	0.06485	0.00694	0.04225	0.04523	0.24511	0.03285	0.0	0.35417	0.78631
s__Faecalicatena_fissicatena	0.0	0.00813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_wexlerae	0.0	0.00792	0.0	0.0	0.0	0.0	0.0	0.06312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_sp_C27_2019	0.0	0.00226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05476
s__Enterococcus_faecium	0.0	0.0	2.09594	2.00866	0.0	0.0	0.0	0.0	0.01522	0.06136	0.0	0.0	0.46743	3.68325	0.14098	0.04438
s__GGB34476_SGB65958	0.0	0.0	1.95148	0.08042	0.48057	0.19976	0.0	0.19798	0.2368	0.41642	0.79423	0.0573	0.09106	0.0	1.49533	1.08512
s__Yaniella_halotolerans	0.0	0.0	1.2531	0.22126	0.0	0.0361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3440_SGB4589	0.0	0.0	0.91271	0.03311	0.74462	0.0	0.03706	0.38719	0.0	0.0	0.98387	1.21579	1.12395	0.0	1.05626	1.63326
s__GGB3600_SGB4859	0.0	0.0	0.81404	0.15709	0.96463	3.50919	0.0	0.02408	0.29337	0.76457	1.47934	0.0	0.23611	0.0	0.87488	1.90825
s__GGB3051_SGB4051	0.0	0.0	0.57922	0.0	0.11426	0.10525	0.06617	0.12509	0.25123	0.28703	0.01361	0.1099	0.29308	0.0	0.74286	0.0
s__GGB89632_SGB125949	0.0	0.0	0.45105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phocaeicola_massiliensis	0.0	0.0	0.4164	0.0	0.74516	0.0	7.9481	1.46949	2.9662	5.64901	0.65139	0.72817	1.30501	0.08838	3.75722	10.41892
s__Faecalimonas_umbilicata	0.0	0.0	0.368	0.01346	0.48943	1.2727	0.0	0.0	0.33321	0.63598	0.68897	0.15048	0.0	0.0896	1.4449	1.56017
s__Jeotgalicoccus_halotolerans	0.0	0.0	0.30125	0.0	0.0	0.02696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phocaeicola_vulgatus	0.0	0.0	0.29486	0.0138	0.13929	0.01587	7.18085	1.0581	1.01246	1.00452	0.38822	1.54477	0.43057	0.06109	2.81433	4.34481
s__GGB3602_SGB4865	0.0	0.0	0.24283	0.05925	0.86716	0.27174	0.0	0.24924	0.05351	0.0718	0.0	0.82207	0.0	0.02602	0.78032	2.03584
s__Lachnospiraceae_unclassified_SGB65957	0.0	0.0	0.23082	0.0	0.17865	3.32135	0.0	0.68275	0.0	0.0	0.0	0.0	1.34609	0.22523	0.0	0.18683
s__Sutterella_wadsworthensis	0.0	0.0	0.20351	0.0	0.01199	0.31245	0.3704	0.3904	0.16894	0.25228	0.59371	2.21879	0.53724	0.15615	0.77771	0.02301
s__GGB3433_SGB4574	0.0	0.0	0.18303	0.0	0.14686	0.0	0.0	0.0	0.0	0.0	0.0	0.00772	0.0	0.0	0.29198	0.73638
s__GGB41005_SGB56035	0.0	0.0	0.16135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peptacetobacter_hiranonis	0.0	0.0	0.15515	0.06887	0.66324	0.9769	0.09973	0.48715	0.49714	0.67699	0.46107	0.38371	0.10037	0.06771	0.95468	1.28612
s__GGB6572_SGB9285	0.0	0.0	0.09327	6.20233	1.48453	5.24469	0.0	3.36369	0.0	0.0	0.0	0.0	0.0	0.0	3.1126	1.45784
s__Coprococcus_sp_AF21_14LB	0.0	0.0	0.07285	0.00418	0.23151	0.01391	0.07756	0.03179	0.0153	0.05176	0.36648	0.91596	0.0	0.00286	0.94789	0.4288
s__GGB52622_SGB132851	0.0	0.0	0.06307	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodospirillaceae_bacterium_SYSU_D60014	0.0	0.0	0.06225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acrocarpospora_corrugata	0.0	0.0	0.03892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3441_SGB4591	0.0	0.0	0.03871	0.0	1.58988	0.00083	0.57109	0.02581	0.0	0.0	0.14002	0.88339	0.79014	0.0	1.3905	0.64214
s__GGB37210_SGB54391	0.0	0.0	0.01747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB44870_SGB62355	0.0	0.0	0.0138	0.0	0.0	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodospirillaceae_bacterium_SYSU_D60015	0.0	0.0	0.01323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
