name,taxonomy_id,taxonomy_lvl,MS11669_minimizer_filtered.bracken_num,MS11669_minimizer_filtered.bracken_frac,MS11670_minimizer_filtered.bracken_num,MS11670_minimizer_filtered.bracken_frac,MS11673_minimizer_filtered.bracken_num,MS11673_minimizer_filtered.bracken_frac,MS11674_minimizer_filtered.bracken_num,MS11674_minimizer_filtered.bracken_frac,MS11675_minimizer_filtered.bracken_num,MS11675_minimizer_filtered.bracken_frac,MS11676_minimizer_filtered.bracken_num,MS11676_minimizer_filtered.bracken_frac,MS11677_minimizer_filtered.bracken_num,MS11677_minimizer_filtered.bracken_frac,MS11678_minimizer_filtered.bracken_num,MS11678_minimizer_filtered.bracken_frac,MS11679_minimizer_filtered.bracken_num,MS11679_minimizer_filtered.bracken_frac,MS11683_minimizer_filtered.bracken_num,MS11683_minimizer_filtered.bracken_frac,MS11684_minimizer_filtered.bracken_num,MS11684_minimizer_filtered.bracken_frac,MS11686_minimizer_filtered.bracken_num,MS11686_minimizer_filtered.bracken_frac,MS11770_minimizer_filtered.bracken_num,MS11770_minimizer_filtered.bracken_frac,MS11771_minimizer_filtered.bracken_num,MS11771_minimizer_filtered.bracken_frac,MS11774_minimizer_filtered.bracken_num,MS11774_minimizer_filtered.bracken_frac,MS11775_minimizer_filtered.bracken_num,MS11775_minimizer_filtered.bracken_frac
Sphingobacterium spiritivorum,258,S,163,0.00014,0,0.00000,0,0.00000,0,0.00000,30,0.00001,0,0.00000,0,0.00000,0,0.00000,14,0.00001,0,0.00000,0,0.00000,0,0.00000,0,0.00000,41,0.00001,0,0.00000,26,0.00001
Roseomonas sp. OT10,2897332,S,162,0.00014,310,0.00055,599,0.00143,0,0.00000,198,0.00006,189,0.00019,170,0.00024,192,0.00016,308,0.00019,434,0.00034,129,0.00011,0,0.00000,198,0.00027,0,0.00000,217,0.00013,351,0.00015
Comamonas serinivorans,1082851,S,162,0.00014,75,0.00013,235,0.00056,0,0.00000,28,0.00001,0,0.00000,0,0.00000,0,0.00000,72,0.00004,104,0.00008,53,0.00005,107,0.00013,88,0.00012,34,0.00001,55,0.00003,158,0.00007
Polaromonas naphthalenivorans,216465,S,162,0.00014,624,0.00110,0,0.00000,0,0.00000,55,0.00002,215,0.00022,183,0.00026,87,0.00007,0,0.00000,67,0.00005,0,0.00000,0,0.00000,110,0.00015,49,0.00001,69,0.00004,1672,0.00071
Anaeromyxobacter sp. K,447217,S,162,0.00014,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,91,0.00007,0,0.00000,166,0.00013,74,0.00006,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Mesorhizobium opportunistum,593909,S,161,0.00014,218,0.00038,149,0.00036,0,0.00000,0,0.00000,100,0.00010,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,90,0.00005,0,0.00000
uncultured Pleomorphomonas sp.,442121,S,161,0.00014,0,0.00000,406,0.00097,0,0.00000,117,0.00003,144,0.00015,0,0.00000,145,0.00012,327,0.00020,292,0.00023,0,0.00000,0,0.00000,226,0.00031,0,0.00000,105,0.00006,150,0.00006
Bordetella sp. H567,1697043,S,161,0.00014,34,0.00006,147,0.00035,0,0.00000,51,0.00002,32,0.00003,49,0.00007,77,0.00006,34,0.00002,76,0.00006,28,0.00002,32,0.00004,49,0.00007,25,0.00001,35,0.00002,51,0.00002
[Ruminococcus] torques,33039,S,161,0.00014,1934,0.00341,1165,0.00279,23,0.00004,2305,0.00069,1354,0.00137,90,0.00013,4439,0.00361,124,0.00008,171,0.00013,279,0.00024,364,0.00044,3960,0.00549,99,0.00003,4729,0.00281,6701,0.00286
Mycolicibacterium sp. MU0053,3064286,S,160,0.00014,77,0.00014,304,0.00073,253,0.00041,0,0.00000,343,0.00035,198,0.00028,178,0.00014,121,0.00007,133,0.00010,60,0.00005,0,0.00000,379,0.00053,158,0.00005,0,0.00000,0,0.00000
Salinibacterium sp. dk2585,2603292,S,160,0.00014,0,0.00000,0,0.00000,0,0.00000,91,0.00003,0,0.00000,0,0.00000,0,0.00000,156,0.00010,122,0.00010,0,0.00000,0,0.00000,0,0.00000,90,0.00003,0,0.00000,45,0.00002
Cystobacter fuscus,43,S,160,0.00014,40,0.00007,94,0.00022,0,0.00000,50,0.00001,34,0.00003,129,0.00019,75,0.00006,275,0.00017,146,0.00011,59,0.00005,70,0.00008,60,0.00008,42,0.00001,84,0.00005,32,0.00001
Sphingobium sp. RAC03,1843368,S,159,0.00014,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,48,0.00007,0,0.00000,0,0.00000,0,0.00000
Acidovorax sp. JMULE5,2518343,S,159,0.00014,230,0.00041,0,0.00000,0,0.00000,69,0.00002,163,0.00016,82,0.00012,85,0.00007,52,0.00003,0,0.00000,0,0.00000,56,0.00007,131,0.00018,87,0.00003,235,0.00014,392,0.00017
Massilia sp. R2A-15,3064278,S,159,0.00014,0,0.00000,120,0.00029,0,0.00000,76,0.00002,0,0.00000,92,0.00013,77,0.00006,0,0.00000,88,0.00007,0,0.00000,0,0.00000,91,0.00013,48,0.00001,146,0.00009,89,0.00004
Mammaliicoccus lentus,42858,S,159,0.00014,0,0.00000,0,0.00000,112,0.00018,21,0.00001,372,0.00038,532,0.00076,86,0.00007,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,44,0.00001,0,0.00000,0,0.00000
Aminobacter aminovorans,83263,S,158,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Caulobacter sp. NIBR2454,3015996,S,158,0.00013,0,0.00000,0,0.00000,0,0.00000,61,0.00002,0,0.00000,90,0.00013,0,0.00000,0,0.00000,106,0.00008,0,0.00000,68,0.00008,0,0.00000,44,0.00001,0,0.00000,0,0.00000
Pseudopedobacter saltans,151895,S,158,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,36,0.00004,37,0.00005,0,0.00000,16,0.00001,0,0.00000,0,0.00000,0,0.00000,0,0.00000,28,0.00001,0,0.00000,33,0.00001
Xanthomonas sp. DAR 35659,3160841,S,157,0.00013,0,0.00000,0,0.00000,0,0.00000,361,0.00011,0,0.00000,137,0.00020,179,0.00015,206,0.00013,0,0.00000,0,0.00000,0,0.00000,48,0.00007,349,0.00011,80,0.00005,0,0.00000
Mitsuaria sp. 7,1658665,S,157,0.00013,59,0.00010,128,0.00031,0,0.00000,35,0.00001,50,0.00005,0,0.00000,106,0.00009,100,0.00006,158,0.00012,69,0.00006,86,0.00010,51,0.00007,38,0.00001,110,0.00007,64,0.00003
Caldimonas brevitalea,413882,S,157,0.00013,50,0.00009,140,0.00034,0,0.00000,39,0.00001,55,0.00006,66,0.00009,111,0.00009,49,0.00003,130,0.00010,0,0.00000,102,0.00012,121,0.00017,47,0.00001,118,0.00007,82,0.00004
Vitreoscilla filiformis,63,S,157,0.00013,123,0.00022,0,0.00000,0,0.00000,0,0.00000,47,0.00005,0,0.00000,0,0.00000,0,0.00000,85,0.00007,0,0.00000,0,0.00000,0,0.00000,0,0.00000,77,0.00005,104,0.00004
Streptomyces sp. SM18,1736046,S,157,0.00013,0,0.00000,0,0.00000,0,0.00000,1919,0.00057,0,0.00000,85,0.00012,82,0.00007,719,0.00044,950,0.00074,74,0.00006,25,0.00003,19,0.00003,58,0.00002,78,0.00005,0,0.00000
Myxococcus xanthus,34,S,157,0.00013,0,0.00000,143,0.00034,0,0.00000,0,0.00000,0,0.00000,159,0.00023,172,0.00014,234,0.00014,209,0.00016,0,0.00000,544,0.00066,126,0.00017,119,0.00004,109,0.00006,0,0.00000
Nitratidesulfovibrio vulgaris,881,S,157,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Xanthomonas citri,346,S,156,0.00013,0,0.00000,0,0.00000,0,0.00000,737,0.00022,0,0.00000,142,0.00020,163,0.00013,169,0.00010,70,0.00005,0,0.00000,0,0.00000,0,0.00000,704,0.00021,73,0.00004,0,0.00000
Lysobacter lycopersici,1324796,S,156,0.00013,0,0.00000,95,0.00023,0,0.00000,131,0.00004,0,0.00000,224,0.00032,212,0.00017,433,0.00026,158,0.00012,35,0.00003,0,0.00000,38,0.00005,89,0.00003,71,0.00004,54,0.00002
Burkholderia pseudomallei,28450,S,156,0.00013,260,0.00046,189,0.00045,0,0.00000,233,0.00007,193,0.00019,146,0.00021,342,0.00028,183,0.00011,270,0.00021,0,0.00000,0,0.00000,0,0.00000,66,0.00002,1415,0.00084,0,0.00000
Ralstonia solanacearum,305,S,156,0.00013,85,0.00015,87,0.00021,0,0.00000,75,0.00002,0,0.00000,61,0.00009,170,0.00014,113,0.00007,208,0.00016,63,0.00005,56,0.00007,88,0.00012,127,0.00004,133,0.00008,121,0.00005
Janthinobacterium agaricidamnosum,55508,S,156,0.00013,56,0.00010,55,0.00013,0,0.00000,69,0.00002,98,0.00010,0,0.00000,94,0.00008,0,0.00000,52,0.00004,0,0.00000,0,0.00000,85,0.00012,220,0.00007,125,0.00007,62,0.00003
Azoarcus sp. KH32C,748247,S,156,0.00013,71,0.00013,196,0.00047,0,0.00000,70,0.00002,59,0.00006,56,0.00008,118,0.00010,77,0.00005,138,0.00011,65,0.00006,74,0.00009,66,0.00009,44,0.00001,127,0.00008,65,0.00003
Nocardioides marinisabuli,419476,S,156,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,170,0.00024,0,0.00000,281,0.00017,547,0.00043,0,0.00000,126,0.00015,72,0.00010,0,0.00000,66,0.00004,0,0.00000
Achromobacter sp. MFA1 R4,1881016,S,155,0.00013,0,0.00000,125,0.00030,0,0.00000,42,0.00001,0,0.00000,237,0.00034,57,0.00005,56,0.00003,80,0.00006,178,0.00015,59,0.00007,118,0.00016,52,0.00002,47,0.00003,0,0.00000
Achromobacter mucicolens,1389922,S,155,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,182,0.00026,0,0.00000,0,0.00000,0,0.00000,137,0.00012,477,0.00058,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Pseudoxanthomonas sp. JBR18,2969308,S,154,0.00013,0,0.00000,68,0.00016,0,0.00000,424,0.00013,60,0.00006,104,0.00015,226,0.00018,192,0.00012,68,0.00005,30,0.00003,0,0.00000,0,0.00000,302,0.00009,138,0.00008,0,0.00000
Sphingomonas sp. S1-29,2991074,S,153,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Methylobacterium aquaticum,270351,S,153,0.00013,0,0.00000,221,0.00053,0,0.00000,139,0.00004,0,0.00000,0,0.00000,91,0.00007,0,0.00000,142,0.00011,118,0.00010,0,0.00000,0,0.00000,125,0.00004,127,0.00008,0,0.00000
Caulobacter vibrioides,155892,S,153,0.00013,84,0.00015,0,0.00000,0,0.00000,45,0.00001,0,0.00000,94,0.00014,0,0.00000,43,0.00003,58,0.00005,0,0.00000,48,0.00006,49,0.00007,35,0.00001,104,0.00006,0,0.00000
Prescottella soli,1543852,S,153,0.00013,0,0.00000,0,0.00000,0,0.00000,70,0.00002,0,0.00000,39,0.00006,0,0.00000,124,0.00008,84,0.00007,112,0.00010,0,0.00000,0,0.00000,0,0.00000,62,0.00004,0,0.00000
Clostridium butyricum,1492,S,153,0.00013,0,0.00000,0,0.00000,0,0.00000,53,0.00002,1263,0.00127,0,0.00000,159,0.00013,0,0.00000,0,0.00000,0,0.00000,49,0.00006,0,0.00000,0,0.00000,51,0.00003,0,0.00000
Paracoccus alcaliphilus,34002,S,152,0.00013,0,0.00000,371,0.00089,0,0.00000,0,0.00000,136,0.00014,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Rheinheimera sp. MMS21-TC3,3072790,S,152,0.00013,0,0.00000,0,0.00000,0,0.00000,86,0.00003,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,394,0.00017
Nocardioides seonyuensis,2518371,S,152,0.00013,0,0.00000,0,0.00000,0,0.00000,40,0.00001,40,0.00004,0,0.00000,0,0.00000,310,0.00019,403,0.00031,34,0.00003,43,0.00005,0,0.00000,0,0.00000,37,0.00002,0,0.00000
Nocardioides humi,449461,S,152,0.00013,0,0.00000,0,0.00000,0,0.00000,52,0.00002,0,0.00000,77,0.00011,52,0.00004,276,0.00017,487,0.00038,0,0.00000,89,0.00011,0,0.00000,0,0.00000,41,0.00002,0,0.00000
Rhodopseudomonas sp. P2A-2r,2991972,S,151,0.00013,0,0.00000,86,0.00021,0,0.00000,47,0.00001,0,0.00000,53,0.00008,78,0.00006,66,0.00004,76,0.00006,0,0.00000,0,0.00000,80,0.00011,58,0.00002,65,0.00004,0,0.00000
Dokdonella koreensis,323415,S,151,0.00013,55,0.00010,74,0.00018,0,0.00000,72,0.00002,39,0.00004,295,0.00042,131,0.00011,163,0.00010,163,0.00013,69,0.00006,59,0.00007,71,0.00010,53,0.00002,55,0.00003,165,0.00007
Pseudomonas mendocina,300,S,151,0.00013,0,0.00000,0,0.00000,0,0.00000,26,0.00001,0,0.00000,0,0.00000,0,0.00000,81,0.00005,59,0.00005,86,0.00007,0,0.00000,0,0.00000,92,0.00003,263,0.00016,67,0.00003
Paraclostridium bifermentans,1490,S,151,0.00013,516,0.00091,104,0.00025,231,0.00037,912,0.00027,1364,0.00138,317,0.00046,511,0.00042,232,0.00014,134,0.00010,166,0.00014,523,0.00063,896,0.00124,202,0.00006,322,0.00019,574,0.00025
Fusobacterium mortiferum,850,S,151,0.00013,150,0.00026,597,0.00143,351,0.00056,3713,0.00110,4428,0.00447,523,0.00075,24624,0.02003,677,0.00041,760,0.00059,492,0.00042,952,0.00115,528,0.00073,113,0.00003,2300,0.00137,3205,0.00137
Mesorhizobium onobrychidis,2775404,S,150,0.00013,0,0.00000,142,0.00034,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,105,0.00008,0,0.00000,0,0.00000,0,0.00000,0,0.00000,197,0.00012,0,0.00000
Achromobacter veterisilvae,2069367,S,150,0.00013,0,0.00000,143,0.00034,0,0.00000,29,0.00001,0,0.00000,87,0.00013,0,0.00000,33,0.00002,92,0.00007,0,0.00000,113,0.00014,44,0.00006,30,0.00001,38,0.00002,40,0.00002
Sphingomonas sanguinis,33051,S,149,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Hydrogenophaga sp. PAMC20947,2565558,S,149,0.00013,96,0.00017,0,0.00000,0,0.00000,17,0.00001,35,0.00004,51,0.00007,35,0.00003,26,0.00002,30,0.00002,0,0.00000,0,0.00000,0,0.00000,33,0.00001,0,0.00000,573,0.00024
Haematobacter massiliensis,195105,S,148,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,434,0.00027,377,0.00029,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Plesiomonas shigelloides,703,S,148,0.00013,0,0.00000,0,0.00000,0,0.00000,12926,0.00385,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,512,0.00062,0,0.00000,0,0.00000,122,0.00007,0,0.00000
Lelliottia amnigena,61646,S,148,0.00013,0,0.00000,0,0.00000,0,0.00000,84,0.00002,8760,0.00884,0,0.00000,190,0.00015,111,0.00007,0,0.00000,1471,0.00125,0,0.00000,0,0.00000,4121,0.00125,0,0.00000,0,0.00000
Eggerthella guodeyinii,2690837,S,148,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,23,0.00001
Sinorhizobium meliloti,382,S,147,0.00013,0,0.00000,86,0.00021,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,93,0.00007,0,0.00000,0,0.00000,0,0.00000,98,0.00003,0,0.00000,30,0.00001
Brucella sp. BE17,3142977,S,147,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,116,0.00005
Lysobacter alkalisoli,2591633,S,147,0.00013,46,0.00008,0,0.00000,0,0.00000,150,0.00004,42,0.00004,77,0.00011,77,0.00006,193,0.00012,84,0.00007,0,0.00000,25,0.00003,0,0.00000,123,0.00004,56,0.00003,80,0.00003
Comamonas terrigena,32013,S,147,0.00013,119,0.00021,0,0.00000,0,0.00000,129,0.00004,193,0.00019,52,0.00007,0,0.00000,182,0.00011,0,0.00000,121,0.00010,315,0.00038,248,0.00034,57,0.00002,69,0.00004,141,0.00006
Pedobacter mucosus,2895286,S,147,0.00013,0,0.00000,0,0.00000,0,0.00000,13,0.00000,56,0.00006,30,0.00004,21,0.00002,33,0.00002,0,0.00000,43,0.00004,0,0.00000,21,0.00003,72,0.00002,0,0.00000,62,0.00003
Haliangium ochraceum,80816,S,146,0.00012,62,0.00011,92,0.00022,18,0.00003,64,0.00002,16,0.00002,49,0.00007,87,0.00007,140,0.00009,143,0.00011,58,0.00005,67,0.00008,66,0.00009,52,0.00002,110,0.00007,39,0.00002
Sphingomonas sp. CV7422,3018036,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Devosia sp. MC521,2759954,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,56,0.00002,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,86,0.00004
Magnetospirillum sp. ME-1,1639348,S,145,0.00012,226,0.00040,384,0.00092,0,0.00000,170,0.00005,0,0.00000,0,0.00000,0,0.00000,0,0.00000,161,0.00013,0,0.00000,0,0.00000,130,0.00018,0,0.00000,0,0.00000,0,0.00000
Paracidovorax citrulli,80869,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,119,0.00017,127,0.00004,0,0.00000,195,0.00008
Paraburkholderia terrae,311230,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,49,0.00001,0,0.00000,0,0.00000,94,0.00008,68,0.00004,0,0.00000,0,0.00000,0,0.00000,94,0.00013,81,0.00002,96,0.00006,0,0.00000
Massilia sp. NP310,2861282,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,85,0.00007,152,0.00009,74,0.00006,94,0.00008,0,0.00000,182,0.00025,135,0.00004,67,0.00004,0,0.00000
Streptomyces sp. S063,2005885,S,145,0.00012,0,0.00000,0,0.00000,0,0.00000,128,0.00004,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,111,0.00009,0,0.00000,245,0.00034,0,0.00000,0,0.00000,0,0.00000
Pseudomonas sp. AN-1,3096605,S,144,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,64,0.00004,39,0.00003,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Hafnia paralvei,546367,S,144,0.00012,0,0.00000,0,0.00000,0,0.00000,913,0.00027,106,0.00011,112,0.00016,91,0.00007,0,0.00000,0,0.00000,67,0.00006,0,0.00000,0,0.00000,555,0.00017,0,0.00000,0,0.00000
Sulfurimicrobium lacus,2715678,S,144,0.00012,50,0.00009,214,0.00051,0,0.00000,84,0.00002,23,0.00002,39,0.00006,141,0.00011,54,0.00003,113,0.00009,43,0.00004,0,0.00000,92,0.00013,40,0.00001,84,0.00005,47,0.00002
Pseudothauera hydrothermalis,2184083,S,144,0.00012,0,0.00000,197,0.00047,0,0.00000,62,0.00002,0,0.00000,0,0.00000,122,0.00010,70,0.00004,96,0.00007,0,0.00000,0,0.00000,77,0.00011,0,0.00000,0,0.00000,0,0.00000
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1,2493675,S,143,0.00012,0,0.00000,0,0.00000,0,0.00000,231,0.00007,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Lysobacter antibioticus,84531,S,143,0.00012,0,0.00000,0,0.00000,0,0.00000,138,0.00004,46,0.00005,74,0.00011,202,0.00016,222,0.00014,87,0.00007,57,0.00005,21,0.00003,32,0.00004,84,0.00003,1310,0.00078,0,0.00000
Variovorax sp. V15,3065952,S,143,0.00012,0,0.00000,80,0.00019,0,0.00000,41,0.00001,47,0.00005,40,0.00006,52,0.00004,42,0.00003,125,0.00010,0,0.00000,68,0.00008,123,0.00017,38,0.00001,54,0.00003,52,0.00002
Paenalcaligenes faecalis,2980099,S,143,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Rhizobium rhizogenes,359,S,142,0.00012,0,0.00000,244,0.00058,0,0.00000,0,0.00000,388,0.00039,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,188,0.00006,0,0.00000,0,0.00000
Mesorhizobium sp. INR15,2654248,S,142,0.00012,0,0.00000,45,0.00011,0,0.00000,0,0.00000,54,0.00005,38,0.00005,129,0.00010,0,0.00000,34,0.00003,0,0.00000,0,0.00000,0,0.00000,51,0.00002,163,0.00010,0,0.00000
Luteimonas sp. MC1825,2761107,S,142,0.00012,53,0.00009,0,0.00000,0,0.00000,147,0.00004,0,0.00000,122,0.00018,229,0.00019,8420,0.00514,2025,0.00158,272,0.00023,0,0.00000,97,0.00013,227,0.00007,57,0.00003,335,0.00014
Dyella telluris,2763498,S,142,0.00012,0,0.00000,0,0.00000,0,0.00000,37,0.00001,0,0.00000,0,0.00000,43,0.00003,197,0.00012,151,0.00012,0,0.00000,0,0.00000,0,0.00000,41,0.00001,0,0.00000,0,0.00000
Lysobacter luteus,2822368,S,141,0.00012,0,0.00000,94,0.00022,0,0.00000,236,0.00007,0,0.00000,69,0.00010,128,0.00010,273,0.00017,136,0.00011,37,0.00003,23,0.00003,29,0.00004,135,0.00004,44,0.00003,0,0.00000
Polaromonas hydrogenivorans,335476,S,141,0.00012,860,0.00152,0,0.00000,0,0.00000,0,0.00000,292,0.00029,193,0.00028,80,0.00007,0,0.00000,49,0.00004,0,0.00000,46,0.00006,109,0.00015,85,0.00003,90,0.00005,1291,0.00055
Burkholderia pyrrocinia,60550,S,141,0.00012,151,0.00027,283,0.00068,0,0.00000,199,0.00006,310,0.00031,185,0.00027,204,0.00017,113,0.00007,83,0.00006,247,0.00021,0,0.00000,0,0.00000,0,0.00000,100,0.00006,165,0.00007
Massilia sp. WG5,1707785,S,141,0.00012,76,0.00013,196,0.00047,0,0.00000,130,0.00004,0,0.00000,82,0.00012,134,0.00011,81,0.00005,160,0.00012,0,0.00000,107,0.00013,63,0.00009,55,0.00002,159,0.00009,0,0.00000
Pedobacter lusitanus,1503925,S,141,0.00012,0,0.00000,0,0.00000,0,0.00000,51,0.00002,52,0.00005,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,40,0.00001,0,0.00000,0,0.00000
Sphingomonas qomolangmaensis,2918765,S,140,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Caballeronia grimmiae,1071679,S,140,0.00012,67,0.00012,0,0.00000,0,0.00000,48,0.00001,0,0.00000,0,0.00000,121,0.00010,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Niveibacterium sp. SC-1,3135646,S,140,0.00012,46,0.00008,171,0.00041,0,0.00000,69,0.00002,35,0.00004,64,0.00009,114,0.00009,40,0.00002,166,0.00013,71,0.00006,60,0.00007,71,0.00010,44,0.00001,110,0.00007,35,0.00001
Croceicoccus sp. YJ47,2798724,S,139,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Azospirillum brasilense,192,S,139,0.00012,269,0.00047,464,0.00111,0,0.00000,104,0.00003,0,0.00000,133,0.00019,0,0.00000,90,0.00005,174,0.00014,0,0.00000,82,0.00010,120,0.00017,89,0.00003,188,0.00011,199,0.00009
Halopseudomonas litoralis,797277,S,139,0.00012,0,0.00000,0,0.00000,0,0.00000,577,0.00017,116,0.00012,0,0.00000,65,0.00005,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,82,0.00002,0,0.00000,77,0.00003
Sulfurifustis variabilis,1675686,S,139,0.00012,59,0.00010,123,0.00029,15,0.00002,62,0.00002,20,0.00002,37,0.00005,94,0.00008,72,0.00004,149,0.00012,47,0.00004,42,0.00005,76,0.00011,32,0.00001,69,0.00004,42,0.00002
Methylobacillus flagellatus,405,S,139,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,39,0.00001,74,0.00004,0,0.00000
Bordetella holmesii,35814,S,138,0.00012,0,0.00000,0,0.00000,0,0.00000,38,0.00001,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,64,0.00003
Cupriavidus sp. MP-37,2884455,S,138,0.00012,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Janthinobacterium sp. 17J80-10,2497863,S,138,0.00012,38,0.00007,116,0.00028,0,0.00000,58,0.00002,0,0.00000,38,0.00005,62,0.00005,38,0.00002,40,0.00003,0,0.00000,0,0.00000,0,0.00000,41,0.00001,42,0.00002,34,0.00001
Nocardioides sp. QY071,3044187,S,138,0.00012,0,0.00000,0,0.00000,0,0.00000,66,0.00002,0,0.00000,106,0.00015,0,0.00000,446,0.00027,476,0.00037,0,0.00000,62,0.00008,61,0.00008,0,0.00000,52,0.00003,0,0.00000
Nocardioides dokdonensis,450734,S,138,0.00012,0,0.00000,0,0.00000,0,0.00000,55,0.00002,0,0.00000,249,0.00036,99,0.00008,431,0.00026,524,0.00041,0,0.00000,70,0.00008,0,0.00000,0,0.00000,135,0.00008,0,0.00000
